1 160
2 100
3 110
4 180
5 180
6 180
7 180
8 240
9 240
10 210
11 220
12 220
13 250
14 230
15 220
16 320
17 340
18 290
19 340
20 320
21 340
22 310
23 330
24 290
25 290
26 13550
27 380
28 350
29 340
30 330
31 350
32 400
33 430
34 420
35 410
36 350
37 360
38 340
39 2300
40 430
41 430
42 370
43 410
44 390
45 440
46 380
47 390
48 410
49 460
50 410
51 420
62 470
73 460
84 500
95 460
106 460
117 500
128 580
139 550
150 480
161 640
172 920
183 670
194 730
205 630
216 580
227 550
238 580
249 520
260 580
271 600
282 670
293 770
304 690
315 610
326 750
337 660
348 600
359 650
370 810
381 790
392 700
403 930
414 710
425 730
436 710
447 730
458 780
469 790
480 1000
491 1030
502 970
513 780
524 1710
535 690
546 670
557 620
568 1530
579 930
590 890
601 830
612 840
623 910
634 940
645 1000
656 1050
667 1080
678 630
689 620
700 560
711 680
722 570
733 830
744 1190
755 910
766 930
777 980
788 920
799 1200
810 870
821 970
832 42630
843 740
854 730
865 960
876 1300
887 870
898 620
909 800
920 750
931 1150
942 580
953 710
964 800
975 990
986 700
997 460
1008 440
1019 470
1030 560
1041 520
1052 650
1063 450
1074 750
1085 980
1096 820
1107 580
1118 480
1129 470
1140 800
1151 510
1162 740
1173 820
1184 930
1195 870
1206 650
1217 530
1228 640
1239 830
1250 1060
1261 840
1272 980
1283 630
1294 760
1305 1140
1316 720
1327 520
1338 800
1349 870
1360 590
1371 1000
1382 1150
1393 500
1404 500
1415 530
1426 1240
1437 780
1448 460
1459 490
1470 470
1481 560
1492 430
1503 490
1514 470
1525 460
1536 460
1547 420
1558 450
1569 470
1580 610
1591 580
1602 590
1613 510
1624 730
1635 550
1646 520
1657 680
1668 22120
1679 590
1690 510
1701 970
1712 2490
1723 690
1734 720
1745 810
1756 1170
1767 550
1778 650
1789 830
1800 600
1811 500
1822 620
1833 810
1844 1020
1855 800
1866 540
1877 550
1888 810
1899 850
1910 780
1921 690
1932 780
1943 1030
1954 510
1965 670
1976 530
1987 490
1998 450
2009 450
2020 550
2031 470
2042 440
2053 480
2064 480
2075 460
2086 580
2097 520
2108 530
2119 580
2130 590
2141 490
2152 550
2163 470
2174 480
2185 500
2196 470
2207 510
2218 550
2229 530
2240 480
2251 580
2262 510
2273 510
2284 530
2295 490
2306 500
2317 500
2328 490
2339 490
2350 630
2361 530
2372 540
2383 530
2394 500
2405 510
2416 470
2427 520
2438 530
2449 500
